Customer_ID,Name,Gender,Age,Email,City,Signup_Date,Membership_Tier,Annual_Income,Purchase_Count,Total_Spent,Payment_Method,Satisfaction_Score,Churn_Risk_Score,App_Installed,Newsletter_Subscribed
CUST_00001,Alexander Hill,Male,47,donaldgarcia@example.net,Chicago,2026-05-15,Silver,73156,13,493.94,Apple Pay,5,0.46,FALSE,TRUE
CUST_00002,Jennifer Johnson,Female,48,jesseguzman@example.net,Chicago,2024-04-15,Bronze,55768,9,477.12,Credit Card,5,0.3,TRUE,FALSE
CUST_00003,Kimberly Robinson,Female,34,lisa02@example.net,New York,2024-12-17,Silver,61234,13,2560.76,Credit Card,5,0.47,FALSE,TRUE
CUST_00004,Cindy Gallagher,Female,32,daviscolin@example.com,San Diego,2025-07-03,Bronze,62541,16,601.3,Credit Card,4,0.68,FALSE,TRUE
CUST_00005,Monica Herrera,Female,68,smiller@example.net,Philadelphia,2025-07-19,Bronze,46023,12,639.29,Bank Transfer,2,0.97,TRUE,FALSE
CUST_00006,Kenneth Bush,Male,26,stanleykendra@example.org,San Diego,2026-04-05,Bronze,81379,13,2509.14,Credit Card,5,0.84,TRUE,FALSE
CUST_00007,Jamie Chavez,Female,63,francisco53@example.net,New York,2024-06-29,Silver,69861,15,314.91,PayPal,1,0.82,FALSE,FALSE
CUST_00008,Maria Lynch,Female,59,amandasanchez@example.com,Philadelphia,2024-10-30,Silver,59223,11,954.22,Apple Pay,5,0.67,TRUE,FALSE
CUST_00009,Mark Hawkins DDS,Male,65,perezantonio@example.com,Chicago,2024-11-23,Bronze,79594,13,1415.48,Credit Card,2,0.52,TRUE,TRUE
CUST_00010,Susan Bradley,Female,50,jason76@example.net,San Antonio,2025-01-25,Bronze,76933,14,1803.13,Apple Pay,5,0.54,TRUE,TRUE
CUST_00011,Danielle Hoffman,Female,60,julie69@example.com,Philadelphia,2024-10-11,Bronze,72521,12,2175.56,PayPal,1,0.32,TRUE,TRUE
CUST_00012,Mr. Johnny Campos PhD,Male,57,courtneyconner@example.com,Chicago,2025-06-25,Bronze,82372,8,858.16,PayPal,2,0.69,TRUE,FALSE
CUST_00013,Kyle Mcdonald,Male,67,tasha01@example.net,Los Angeles,2026-05-07,Bronze,64767,9,1333.88,Bank Transfer,1,0.15,TRUE,FALSE
CUST_00014,Patricia Peterson,Female,51,ryan70@example.net,Chicago,2026-04-27,Bronze,64589,13,1502.39,Apple Pay,4,0.45,FALSE,TRUE
CUST_00015,Jonathan White,Male,52,harrellkenneth@example.net,Chicago,2025-03-20,Bronze,73802,10,273.4,Bank Transfer,3,0.59,TRUE,FALSE
CUST_00016,James Martin,Male,59,georgetracy@example.org,San Antonio,2026-06-25,Silver,97856,14,2640.56,Bank Transfer,4,0.14,TRUE,FALSE
CUST_00017,Ronald Parker,Male,34,allenashley@example.org,New York,2023-12-13,Gold,68411,12,441.1,PayPal,5,0.9,TRUE,TRUE
CUST_00018,Andrea Hodges,Female,21,davidalvarez@example.net,San Diego,2024-03-09,Bronze,84607,16,2876.78,Bank Transfer,1,0.85,TRUE,FALSE
CUST_00019,Lisa Brandt,Female,43,jenniferross@example.net,Houston,2025-08-23,Bronze,67622,14,845.16,Apple Pay,1,0.71,TRUE,FALSE
CUST_00020,Joseph Martinez,Male,35,calebsmith@example.net,Chicago,2024-05-20,Bronze,46747,10,1115.87,Apple Pay,5,0.64,TRUE,FALSE
CUST_00021,Benjamin Welch,Male,46,carlosjohnson@example.com,Phoenix,2023-11-27,VIP,77751,9,1106.65,Bank Transfer,1,0.77,FALSE,TRUE
CUST_00022,Maureen Lewis,Female,59,jenniferkhan@example.net,Phoenix,2025-02-10,Gold,70915,20,2389.95,PayPal,4,0.57,FALSE,FALSE
CUST_00023,Rhonda Lee,Female,21,hopkinsmichael@example.com,Los Angeles,2025-02-03,Bronze,68211,13,1699.12,Bank Transfer,2,0.99,FALSE,FALSE
CUST_00024,Michael Joyce,Male,61,brownjessica@example.org,Houston,2024-06-09,Gold,46313,14,1027.21,Credit Card,2,0.42,TRUE,FALSE
CUST_00025,Jerry Henderson,Male,38,steven17@example.net,Philadelphia,2023-12-27,Bronze,84963,10,369.17,PayPal,3,0.58,TRUE,TRUE
CUST_00026,Kimberly Smith,Female,67,housemelinda@example.org,Houston,2024-11-29,VIP,79823,10,1140.04,PayPal,4,0.77,TRUE,FALSE
CUST_00027,Sharon Barrera,Female,65,nicholasgalloway@example.com,Los Angeles,2026-06-22,Bronze,53517,14,1285.03,Credit Card,2,0.43,FALSE,FALSE
CUST_00028,Dustin Horton,Male,30,smoore@example.org,New York,2026-08-07,Silver,,11,529.75,Credit Card,1,0.25,TRUE,FALSE
CUST_00029,Joshua Adkins,Male,23,williamsthomas@example.net,Philadelphia,2024-03-01,Bronze,45097,9,1407.71,Credit Card,4,0.01,TRUE,FALSE
CUST_00030,Mrs. Charlene Larson,Female,34,richarddavid@example.net,Philadelphia,2024-06-06,Bronze,92655,7,736.57,Bank Transfer,5,0.17,TRUE,FALSE
CUST_00031,Manuel Barnes,Male,28,sarah35@example.org,San Diego,2024-06-28,Bronze,65877,16,789.25,Apple Pay,2,0.07,TRUE,FALSE
CUST_00032,Maria Bryant,Female,53,smithchristine@example.net,Los Angeles,2026-09-06,Gold,100219,13,1536.74,Apple Pay,3,0.94,TRUE,TRUE
CUST_00033,Christy Baker,Female,49,nicole35@example.com,Chicago,2024-03-01,Bronze,58722,13,1794.39,Bank Transfer,2,0.39,TRUE,TRUE
CUST_00034,Michael Carr,Male,68,contrerasangela@example.net,New York,2024-01-02,Silver,63328,13,1980.07,Credit Card,1,0.8,TRUE,FALSE
CUST_00035,Dennis Preston,Male,66,josephjacobs@example.net,New York,2024-09-20,Silver,59483,13,1574.77,PayPal,5,0.24,TRUE,FALSE
CUST_00036,Sarah Wagner,Female,66,rebecca01@example.net,New York,2024-12-18,Gold,56784,11,417.97,Apple Pay,5,0.05,FALSE,FALSE
CUST_00037,April Wise,Female,37,evan78@example.net,San Antonio,2024-12-22,Silver,52201,6,718,Credit Card,5,0.21,TRUE,TRUE
CUST_00038,Benjamin Ware,Male,32,amydavenport@example.net,Los Angeles,2025-05-08,VIP,64785,12,2157.44,Credit Card,2,0.35,FALSE,FALSE
CUST_00039,Amanda Diaz,Female,25,nolanjason@example.org,New York,2025-09-10,Silver,43408,11,510.28,Credit Card,3,0.51,TRUE,FALSE
CUST_00040,Justin Baxter,Male,43,sarayoung@example.org,Los Angeles,2026-08-15,Silver,59247,13,1917.14,PayPal,4,0.48,TRUE,FALSE
CUST_00041,Stanley Johnson,Male,63,kimberly63@example.com,Philadelphia,2024-03-03,Silver,64722,5,205.77,Apple Pay,1,0.65,TRUE,FALSE
CUST_00042,James Williams,Male,51,dwalker@example.com,San Antonio,2024-08-10,Bronze,60670,6,1166.85,PayPal,1,0.52,TRUE,FALSE
